Function,Dimension,Algorithm,Cores,File Type,Convergence Iterations
F1,256,GWO,1,serial,178
F1,256,GWO,2,parallel,178
F1,256,GWO,2,hybrid,177
F1,256,GWO,4,parallel,180
F1,256,GWO,4,hybrid,187
F1,256,GWO,8,parallel,176
F1,256,GWO,8,hybrid,198
F1,256,GWO,16,parallel,178
F1,256,GWO,16,hybrid,197
F1,256,GWO,32,parallel,181
F1,256,GWO,32,hybrid,222
F1,256,GWO,64,parallel,176
F1,256,GWO,64,hybrid,228
F1,256,HGT-GWO,1,serial,80
F1,256,HGT-GWO,2,parallel,102
F1,256,HGT-GWO,2,hybrid,133
F1,256,HGT-GWO,4,parallel,122
F1,256,HGT-GWO,4,hybrid,105
F1,256,HGT-GWO,8,parallel,128
F1,256,HGT-GWO,8,hybrid,122
F1,256,HGT-GWO,16,parallel,125
F1,256,HGT-GWO,16,hybrid,100
F1,256,HGT-GWO,32,parallel,99
F1,256,HGT-GWO,32,hybrid,107
F1,256,HGT-GWO,64,parallel,111
F1,256,HGT-GWO,64,hybrid,121
F1,512,GWO,1,serial,303
F1,512,GWO,2,parallel,320
F1,512,GWO,2,hybrid,308
F1,512,GWO,4,parallel,305
F1,512,GWO,4,hybrid,322
F1,512,GWO,8,parallel,311
F1,512,GWO,8,hybrid,317
F1,512,GWO,16,parallel,309
F1,512,GWO,16,hybrid,359
F1,512,GWO,32,parallel,314
F1,512,GWO,32,hybrid,389
F1,512,GWO,64,parallel,304
F1,512,GWO,64,hybrid,495
F1,512,HGT-GWO,1,serial,95
F1,512,HGT-GWO,2,parallel,133
F1,512,HGT-GWO,2,hybrid,156
F1,512,HGT-GWO,4,parallel,129
F1,512,HGT-GWO,4,hybrid,143
F1,512,HGT-GWO,8,parallel,108
F1,512,HGT-GWO,8,hybrid,64
F1,512,HGT-GWO,16,parallel,125
F1,512,HGT-GWO,16,hybrid,116
F1,512,HGT-GWO,32,parallel,127
F1,512,HGT-GWO,32,hybrid,134
F1,512,HGT-GWO,64,parallel,140
F1,512,HGT-GWO,64,hybrid,122
F1,1024,GWO,1,serial,500
F1,1024,GWO,2,parallel,500
F1,1024,GWO,2,hybrid,500
F1,1024,GWO,4,parallel,500
F1,1024,GWO,4,hybrid,500
F1,1024,GWO,8,parallel,500
F1,1024,GWO,8,hybrid,500
F1,1024,GWO,16,parallel,500
F1,1024,GWO,16,hybrid,500
F1,1024,GWO,32,parallel,500
F1,1024,GWO,32,hybrid,500
F1,1024,GWO,64,parallel,500
F1,1024,GWO,64,hybrid,500
F1,1024,HGT-GWO,1,serial,110
F1,1024,HGT-GWO,2,parallel,127
F1,1024,HGT-GWO,2,hybrid,147
F1,1024,HGT-GWO,4,parallel,116
F1,1024,HGT-GWO,4,hybrid,134
F1,1024,HGT-GWO,8,parallel,138
F1,1024,HGT-GWO,8,hybrid,113
F1,1024,HGT-GWO,16,parallel,144
F1,1024,HGT-GWO,16,hybrid,110
F1,1024,HGT-GWO,32,parallel,150
F1,1024,HGT-GWO,32,hybrid,132
F1,1024,HGT-GWO,64,parallel,118
F1,1024,HGT-GWO,64,hybrid,113
F2,256,GWO,1,serial,333
F2,256,GWO,2,parallel,335
F2,256,GWO,2,hybrid,329
F2,256,GWO,4,parallel,318
F2,256,GWO,4,hybrid,316
F2,256,GWO,8,parallel,310
F2,256,GWO,8,hybrid,334
F2,256,GWO,16,parallel,338
F2,256,GWO,16,hybrid,362
F2,256,GWO,32,parallel,312
F2,256,GWO,32,hybrid,410
F2,256,GWO,64,parallel,326
F2,256,GWO,64,hybrid,500
F2,256,HGT-GWO,1,serial,127
F2,256,HGT-GWO,2,parallel,125
F2,256,HGT-GWO,2,hybrid,107
F2,256,HGT-GWO,4,parallel,132
F2,256,HGT-GWO,4,hybrid,132
F2,256,HGT-GWO,8,parallel,136
F2,256,HGT-GWO,8,hybrid,133
F2,256,HGT-GWO,16,parallel,131
F2,256,HGT-GWO,16,hybrid,122
F2,256,HGT-GWO,32,parallel,121
F2,256,HGT-GWO,32,hybrid,119
F2,256,HGT-GWO,64,parallel,125
F2,256,HGT-GWO,64,hybrid,129
F2,512,GWO,1,serial,500
F2,512,GWO,2,parallel,500
F2,512,GWO,2,hybrid,500
F2,512,GWO,4,parallel,500
F2,512,GWO,4,hybrid,500
F2,512,GWO,8,parallel,500
F2,512,GWO,8,hybrid,500
F2,512,GWO,16,parallel,500
F2,512,GWO,16,hybrid,500
F2,512,GWO,32,parallel,500
F2,512,GWO,32,hybrid,500
F2,512,GWO,64,parallel,500
F2,512,GWO,64,hybrid,500
F2,512,HGT-GWO,1,serial,156
F2,512,HGT-GWO,2,parallel,124
F2,512,HGT-GWO,2,hybrid,135
F2,512,HGT-GWO,4,parallel,123
F2,512,HGT-GWO,4,hybrid,123
F2,512,HGT-GWO,8,parallel,107
F2,512,HGT-GWO,8,hybrid,128
F2,512,HGT-GWO,16,parallel,143
F2,512,HGT-GWO,16,hybrid,135
F2,512,HGT-GWO,32,parallel,135
F2,512,HGT-GWO,32,hybrid,128
F2,512,HGT-GWO,64,parallel,127
F2,512,HGT-GWO,64,hybrid,129
F2,1024,GWO,1,serial,500
F2,1024,GWO,2,parallel,500
F2,1024,GWO,2,hybrid,500
F2,1024,GWO,4,parallel,500
F2,1024,GWO,4,hybrid,500
