Function,Dimension,Algorithm,Cores,File Type,Execution Time (s)
F2,1024,HGT-GWO,16,hybrid,1.901154
F2,1024,HGT-GWO,32,parallel,1.713859
F2,1024,HGT-GWO,32,hybrid,1.877137
F2,1024,HGT-GWO,64,parallel,4.348072
F2,1024,HGT-GWO,64,hybrid,3.95422
F3,256,GWO,2,parallel,54.220577
F3,256,GWO,2,hybrid,54.457815
F3,256,GWO,4,parallel,20.170967
F3,256,GWO,4,hybrid,20.029166
F3,256,GWO,8,parallel,8.67898
F3,256,GWO,8,hybrid,8.616061
F3,256,GWO,16,parallel,4.391854
F3,256,GWO,16,hybrid,4.274215
F3,256,GWO,32,parallel,3.022576
F3,256,GWO,32,hybrid,3.011602
F3,256,GWO,64,parallel,4.681641
F3,256,GWO,64,hybrid,4.599626
F3,256,HGT-GWO,2,parallel,50.861152
F3,256,HGT-GWO,2,hybrid,50.450822
F3,256,HGT-GWO,4,parallel,18.573523
F3,256,HGT-GWO,4,hybrid,18.80431
F3,256,HGT-GWO,8,parallel,7.955067
F3,256,HGT-GWO,8,hybrid,7.866963
F3,256,HGT-GWO,16,parallel,3.998288
F3,256,HGT-GWO,16,hybrid,4.076916
F3,256,HGT-GWO,32,parallel,2.846938
F3,256,HGT-GWO,32,hybrid,2.903301
F3,256,HGT-GWO,64,parallel,4.602189
F3,256,HGT-GWO,64,hybrid,4.660887
F3,512,GWO,2,parallel,127.980765
F3,512,GWO,2,hybrid,128.465402
F3,512,GWO,4,parallel,57.260777
F3,512,GWO,4,hybrid,57.479136
F3,512,GWO,8,parallel,27.683711
F3,512,GWO,8,hybrid,27.641243
F3,512,GWO,16,parallel,12.40741
F3,512,GWO,16,hybrid,12.311531
F3,512,GWO,32,parallel,8.558748
F3,512,GWO,32,hybrid,8.402286
F3,512,GWO,64,parallel,7.438891
F3,512,GWO,64,hybrid,7.282628
F3,512,HGT-GWO,2,parallel,122.388071
F3,512,HGT-GWO,2,hybrid,121.988183
F3,512,HGT-GWO,4,parallel,54.40652
F3,512,HGT-GWO,4,hybrid,54.526086
F3,512,HGT-GWO,8,parallel,26.257921
F3,512,HGT-GWO,8,hybrid,26.384043
F3,512,HGT-GWO,16,parallel,11.842366
F3,512,HGT-GWO,16,hybrid,11.813364
F3,512,HGT-GWO,32,parallel,8.053955
F3,512,HGT-GWO,32,hybrid,8.39993
F3,512,HGT-GWO,64,parallel,7.444191
F3,512,HGT-GWO,64,hybrid,7.682063
F3,1024,GWO,2,parallel,369.633418
F3,1024,GWO,2,hybrid,369.595659
F3,1024,GWO,4,parallel,178.827684
F3,1024,GWO,4,hybrid,178.878267
F3,1024,GWO,8,parallel,90.794771
F3,1024,GWO,8,hybrid,90.446966
F3,1024,GWO,16,parallel,47.631572
F3,1024,GWO,16,hybrid,47.259669
F3,1024,GWO,32,parallel,24.531955
F3,1024,GWO,32,hybrid,25.394285
F3,1024,GWO,64,parallel,15.749683
F3,1024,GWO,64,hybrid,15.388439
F3,1024,HGT-GWO,2,parallel,359.311513
F3,1024,HGT-GWO,2,hybrid,359.68163
F3,1024,HGT-GWO,4,parallel,173.716493
F3,1024,HGT-GWO,4,hybrid,173.805909
F3,1024,HGT-GWO,8,parallel,88.244054
F3,1024,HGT-GWO,8,hybrid,87.552253
F3,1024,HGT-GWO,16,parallel,46.354948
F3,1024,HGT-GWO,16,hybrid,46.254455
F3,1024,HGT-GWO,32,parallel,25.163527
F3,1024,HGT-GWO,32,hybrid,24.196839
F3,1024,HGT-GWO,64,parallel,15.740161
F3,1024,HGT-GWO,64,hybrid,15.528905
