Function,Dimension,Algorithm,Cores,File Type,Execution Time (s)
F2,1024,GWO,64,parallel,138.089273
F2,1024,GWO,64,hybrid,142.239895
F2,1024,HGT-GWO,1,serial,141.27
F2,1024,HGT-GWO,2,parallel,93.97802
F2,1024,HGT-GWO,2,hybrid,94.207275
F2,1024,HGT-GWO,4,parallel,95.300634
F2,1024,HGT-GWO,4,hybrid,95.200563
F2,1024,HGT-GWO,8,parallel,95.698755
F2,1024,HGT-GWO,8,hybrid,95.93812
F2,1024,HGT-GWO,16,parallel,100.210015
F2,1024,HGT-GWO,16,hybrid,98.326613
F2,1024,HGT-GWO,32,parallel,102.591387
F2,1024,HGT-GWO,32,hybrid,103.331565
F2,1024,HGT-GWO,64,parallel,111.697856
F2,1024,HGT-GWO,64,hybrid,115.880649
F3,256,GWO,1,serial,183.97
F3,256,GWO,2,parallel,142.930441
F3,256,GWO,2,hybrid,142.869532
F3,256,GWO,4,parallel,132.352316
F3,256,GWO,4,hybrid,130.67847
F3,256,GWO,8,parallel,131.353523
F3,256,GWO,8,hybrid,131.323758
F3,256,GWO,16,parallel,123.813355
F3,256,GWO,16,hybrid,127.964807
F3,256,GWO,32,parallel,131.049735
F3,256,GWO,32,hybrid,131.857932
F3,256,GWO,64,parallel,140.226535
F3,256,GWO,64,hybrid,133.882077
F3,256,HGT-GWO,1,serial,185.98
F3,256,HGT-GWO,2,parallel,134.042685
F3,256,HGT-GWO,2,hybrid,134.47638
F3,256,HGT-GWO,4,parallel,124.280005
F3,256,HGT-GWO,4,hybrid,118.436919
F3,256,HGT-GWO,8,parallel,116.69455
F3,256,HGT-GWO,8,hybrid,115.344351
F3,256,HGT-GWO,16,parallel,119.517829
F3,256,HGT-GWO,16,hybrid,116.471725
F3,256,HGT-GWO,32,parallel,117.474853
F3,256,HGT-GWO,32,hybrid,120.802317
F3,256,HGT-GWO,64,parallel,131.895061
F3,256,HGT-GWO,64,hybrid,125.902433
F3,512,GWO,1,serial,309.65
F3,512,GWO,2,parallel,220.967919
F3,512,GWO,2,hybrid,222.166456
F3,512,GWO,4,parallel,176.638595
F3,512,GWO,4,hybrid,172.948889
