Function,Dimension,Algorithm,Cores,File Type,Convergence Iterations
F3,256,GWO,8,parallel,500
F3,256,GWO,8,hybrid,500
F3,256,GWO,16,parallel,500
F3,256,GWO,16,hybrid,500
F3,256,GWO,32,parallel,500
F3,256,GWO,32,hybrid,500
F3,256,GWO,64,parallel,500
F3,256,GWO,64,hybrid,500
F3,256,HGT-GWO,1,serial,129
F3,256,HGT-GWO,2,parallel,377
F3,256,HGT-GWO,2,hybrid,377
F3,256,HGT-GWO,4,parallel,375
F3,256,HGT-GWO,4,hybrid,367
F3,256,HGT-GWO,8,parallel,373
F3,256,HGT-GWO,8,hybrid,378
F3,256,HGT-GWO,16,parallel,377
F3,256,HGT-GWO,16,hybrid,377
F3,256,HGT-GWO,32,parallel,378
F3,256,HGT-GWO,32,hybrid,374
F3,256,HGT-GWO,64,parallel,382
F3,256,HGT-GWO,64,hybrid,377
F3,512,GWO,1,serial,500
F3,512,GWO,2,parallel,500
F3,512,GWO,2,hybrid,500
F3,512,GWO,4,parallel,500
F3,512,GWO,4,hybrid,500
F3,512,GWO,8,parallel,500
F3,512,GWO,8,hybrid,500
F3,512,GWO,16,parallel,500
F3,512,GWO,16,hybrid,500
F3,512,GWO,32,parallel,500
F3,512,GWO,32,hybrid,500
F3,512,GWO,64,parallel,500
F3,512,GWO,64,hybrid,500
F3,512,HGT-GWO,1,serial,146
F3,512,HGT-GWO,2,parallel,424
F3,512,HGT-GWO,2,hybrid,405
F3,512,HGT-GWO,4,parallel,402
F3,512,HGT-GWO,4,hybrid,411
F3,512,HGT-GWO,8,parallel,414
F3,512,HGT-GWO,8,hybrid,403
F3,512,HGT-GWO,16,parallel,419
F3,512,HGT-GWO,16,hybrid,411
F3,512,HGT-GWO,32,parallel,401
F3,512,HGT-GWO,32,hybrid,408
F3,512,HGT-GWO,64,parallel,409
F3,512,HGT-GWO,64,hybrid,416
F3,1024,GWO,1,serial,500
F3,1024,GWO,2,parallel,500
F3,1024,GWO,2,hybrid,500
F3,1024,GWO,4,parallel,500
F3,1024,GWO,4,hybrid,500
F3,1024,GWO,8,parallel,500
F3,1024,GWO,8,hybrid,500
F3,1024,GWO,16,parallel,500
F3,1024,GWO,16,hybrid,500
F3,1024,GWO,32,parallel,500
F3,1024,GWO,32,hybrid,500
F3,1024,GWO,64,parallel,500
F3,1024,GWO,64,hybrid,500
F3,1024,HGT-GWO,1,serial,165
F3,1024,HGT-GWO,2,parallel,454
F3,1024,HGT-GWO,2,hybrid,460
F3,1024,HGT-GWO,4,parallel,450
F3,1024,HGT-GWO,4,hybrid,448
F3,1024,HGT-GWO,8,parallel,448
F3,1024,HGT-GWO,8,hybrid,438
F3,1024,HGT-GWO,16,parallel,442
F3,1024,HGT-GWO,16,hybrid,442
F3,1024,HGT-GWO,32,parallel,432
F3,1024,HGT-GWO,32,hybrid,445
F3,1024,HGT-GWO,64,parallel,439
F3,1024,HGT-GWO,64,hybrid,441
