Function,Dimension,Algorithm,Cores,File Type,Execution Time (s)
F1,256,GWO,2,parallel,10.410074
F1,256,GWO,2,hybrid,10.428689
F1,256,GWO,4,parallel,3.807738
F1,256,GWO,4,hybrid,3.834034
F1,256,GWO,8,parallel,1.576727
F1,256,GWO,8,hybrid,1.611943
F1,256,GWO,16,parallel,0.814123
F1,256,GWO,16,hybrid,0.806892
F1,256,GWO,32,parallel,0.572863
F1,256,GWO,32,hybrid,0.544874
F1,256,GWO,64,parallel,0.864169
F1,256,GWO,64,hybrid,0.782003
F1,256,HGT-GWO,2,parallel,7.580931
F1,256,HGT-GWO,2,hybrid,7.773038
F1,256,HGT-GWO,4,parallel,2.38463
F1,256,HGT-GWO,4,hybrid,2.525108
F1,256,HGT-GWO,8,parallel,0.884846
F1,256,HGT-GWO,8,hybrid,0.918876
F1,256,HGT-GWO,16,parallel,0.431162
F1,256,HGT-GWO,16,hybrid,0.448799
F1,256,HGT-GWO,32,parallel,0.373905
F1,256,HGT-GWO,32,hybrid,0.384809
F1,256,HGT-GWO,64,parallel,0.710543
F1,256,HGT-GWO,64,hybrid,0.755859
F1,512,GWO,2,parallel,15.268615
F1,512,GWO,2,hybrid,15.302218
F1,512,GWO,4,parallel,6.241877
F1,512,GWO,4,hybrid,6.438577
F1,512,GWO,8,parallel,2.786531
F1,512,GWO,8,hybrid,2.892472
F1,512,GWO,16,parallel,1.244341
F1,512,GWO,16,hybrid,1.244537
F1,512,GWO,32,parallel,0.793928
F1,512,GWO,32,hybrid,0.793517
F1,512,GWO,64,parallel,0.374372
F1,512,GWO,64,hybrid,0.351083
F1,512,HGT-GWO,2,parallel,9.700143
F1,512,HGT-GWO,2,hybrid,9.965764
F1,512,HGT-GWO,4,parallel,3.437351
F1,512,HGT-GWO,4,hybrid,3.68874
F1,512,HGT-GWO,8,parallel,1.450439
F1,512,HGT-GWO,8,hybrid,1.510482
F1,512,HGT-GWO,16,parallel,0.631534
F1,512,HGT-GWO,16,hybrid,0.643586
F1,512,HGT-GWO,32,parallel,0.389456
F1,512,HGT-GWO,32,hybrid,0.426273
F1,512,HGT-GWO,64,parallel,0.2069
F1,512,HGT-GWO,64,hybrid,0.206977
